Friends Count	Daily Work Hours	Has PhD	Time Spent on Phone (min)
102	12	1	9.299999999999997
435	4	1	123.25
860	0	0	189.0
270	0	1	130.5
106	14	0	-36.099999999999994
71	16	1	-27.349999999999994
700	10	0	85.0
20	16	1	-35.0
614	12	0	56.099999999999994
121	0	1	108.15
466	1	1	151.89999999999998
214	8	0	28.099999999999994
330	2	0	93.5
458	0	0	128.7
87	15	0	-46.95
372	5	1	105.8
99	16	1	-23.150000000000006
871	4	0	158.65
663	4	1	157.45
130	5	0	39.5
661	2	0	143.14999999999998
308	4	1	104.19999999999999
769	4	1	173.35
343	9	1	69.44999999999999
491	9	1	91.64999999999998
413	16	1	23.94999999999999
805	13	1	106.75
385	8	1	83.75
191	13	0	-15.349999999999994
955	0	0	203.25
276	12	0	5.400000000000006
160	12	0	-12.0
459	3	0	104.85
313	0	1	136.95
21	16	0	-64.85
252	7	0	41.8
747	1	0	164.05
856	7	0	132.4
560	6	0	96.0
474	1	0	123.1
58	2	0	52.7
510	11	1	78.5
681	0	1	192.14999999999998
475	11	0	43.25
699	4	1	162.85
975	16	1	108.25
782	15	1	87.30000000000001
189	14	1	6.349999999999994
957	14	0	91.54999999999998
686	4	1	160.89999999999998
957	13	1	129.54999999999998
562	1	1	166.3
875	10	0	111.25
566	6	0	96.89999999999998
243	5	0	56.44999999999999
831	1	0	176.64999999999998
504	5	0	95.6
130	1	0	71.5
484	14	0	20.599999999999994
818	1	1	204.7
646	5	1	146.89999999999998
20	0	1	93.0
840	14	0	74.0
166	9	0	12.900000000000006
273	16	0	-27.05000000000001
387	4	0	86.05
600	3	0	126.0
315	9	1	65.25
13	16	1	-36.05
241	9	0	24.150000000000006
776	16	0	48.39999999999998
345	4	0	79.75
564	1	0	136.6
897	5	1	184.54999999999998
339	1	0	102.85
91	12	0	-22.349999999999994
366	10	0	34.900000000000006
955	10	0	123.25
454	15	1	38.099999999999994
427	10	0	44.05
508	14	0	24.19999999999999
775	15	1	86.25
942	10	1	151.29999999999998
34	15	1	-24.900000000000006
205	7	0	34.75
80	3	0	48.0
931	7	1	173.65
561	3	1	150.14999999999998
871	2	1	204.65
387	2	1	132.05
1	4	1	58.15
389	9	1	76.35
565	5	0	104.75
105	0	0	75.75
771	4	0	143.64999999999998
821	8	1	149.14999999999998
476	11	1	73.39999999999998
702	13	1	91.30000000000001
401	1	1	142.15
729	16	1	71.35
555	13	1	69.25
161	12	0	-11.849999999999994
201	8	0	26.150000000000006
957	14	1	121.54999999999998
995	14	0	97.25
269	10	1	50.349999999999994
862	15	0	69.29999999999998
815	16	1	84.25
270	3	1	106.5
455	0	0	128.25
461	7	0	73.14999999999998
726	16	1	70.89999999999998
251	2	1	111.65
701	14	0	53.14999999999998
295	14	0	-7.75
724	13	1	94.6
719	13	0	63.849999999999994
748	1	1	194.2
337	12	1	44.55
878	13	1	117.69999999999999
52	6	1	49.8
791	2	0	162.64999999999998
921	14	0	86.15
216	13	0	-11.599999999999994
763	10	0	94.44999999999999
187	14	0	-23.950000000000003
379	12	0	20.849999999999994
492	5	0	93.80000000000001
40	2	1	80.0
156	14	0	-28.599999999999994
14	4	0	30.1
812	9	1	139.8
64	6	0	21.599999999999994
856	16	0	60.400000000000006
838	6	1	167.7
520	11	0	50.0
343	16	0	-16.55000000000001
128	12	0	-16.799999999999997
647	3	1	163.05
471	9	0	58.64999999999998
62	2	0	53.3
138	8	1	46.7
498	12	0	38.69999999999999
592	14	1	66.80000000000001
391	3	1	124.65
674	14	0	49.099999999999994
418	1	1	144.7
288	14	1	21.19999999999999
378	7	0	60.69999999999999
772	7	1	149.8
489	16	1	35.349999999999994
230	11	0	6.5
40	9	0	-6.0
27	8	0	0.04999999999999716
134	4	1	78.1
200	5	0	50.0
839	1	1	207.85
779	12	1	110.85
929	5	1	189.35
32	4	1	62.8
47	0	1	97.05
502	5	1	125.30000000000001
406	5	1	110.9
573	15	0	25.94999999999999
727	3	0	145.05
804	10	1	130.6
98	8	1	40.7
683	2	0	146.45
871	7	1	164.65
725	4	0	136.75
986	3	0	183.9
546	5	0	101.89999999999998
960	1	1	226.0
738	10	1	120.69999999999999
612	3	0	127.80000000000001
942	14	0	89.29999999999998
461	5	0	89.14999999999998
642	16	0	28.30000000000001
768	5	0	135.2
4	1	1	82.6
217	14	0	-19.450000000000003
502	10	1	85.30000000000001
766	7	0	118.89999999999998
397	12	1	53.55
870	11	1	132.5
794	4	1	177.1
392	5	1	108.8
206	3	1	96.9
14	0	1	92.1
857	16	0	60.54999999999998
553	11	1	84.94999999999999
891	14	0	81.65
460	0	1	159.0
690	13	1	89.5
574	5	0	106.1
863	4	1	187.45
742	10	0	91.30000000000001
240	3	0	72.0
563	12	0	48.44999999999999
95	10	0	-5.75
899	2	1	208.85
733	0	1	199.95
484	5	0	92.6
406	9	1	78.9
230	4	1	92.5
748	9	0	100.19999999999999
654	11	1	100.1
170	1	0	77.5
540	12	0	45.0
35	7	1	39.25
524	1	1	160.6
159	0	1	113.85
838	4	0	153.7
698	8	0	100.69999999999999
242	16	1	-1.7000000000000028
85	8	1	38.75
795	10	1	129.25
